,SourceFile,cust.GPSLatt,cust.GPSLong,cust.author,cust.MediaDate,cust.GPSAlt,suggested.SourceFile,suggested.cust.GPSLatt,suggested.cust.GPSLong,suggested.cust.GPSAlt,suggested.time.diff,suggested.approved
0,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0160.JPG,,,authS,2013-03-04T01:07:32Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0162.JPG,43.236,76.94,,26.3344444444444,True
1,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0161.JPG,,,authS,2013-03-04T01:38:27Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0162.JPG,43.236,76.94,,25.8191666666667,True
2,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0834.JPG,,,authS,2013-07-11T13:13:15Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0837.JPG,42.7073333333333,27.7778333333333,36.00000381,0.521388888888889,True
3,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0003.JPG,,,authS,2015-04-05T13:55:59Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0105.JPG,53.6031666666667,58.6165,451.8609272,0.0,True
4,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0995.JPG,,,authS,2013-07-20T16:35:49Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0999.JPG,42.4236666666667,27.6933333333333,27.05639913,1.16583333333333,True
5,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0994.JPG,,,authS,2013-07-20T16:34:17Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0999.JPG,42.4236666666667,27.6933333333333,27.05639913,1.19138888888889,True
6,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0002.JPG,,,authS,2013-01-25T04:09:27Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0033.JPG,55.9135,37.5541666666667,,33.6741666666667,False
7,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0549.JPG,,,authS,2013-05-23T14:16:23Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0551.JPG,55.9135,37.5541666666667,192.2913386,49.05,False
8,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0159.JPG,,,authS,2013-03-04T01:07:07Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0162.JPG,43.236,76.94,,26.3413888888889,True
9,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0158.JPG,,,authS,2013-03-04T00:00:54Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0162.JPG,43.236,76.94,,27.445,True
10,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0574.JPG,,,authS,2013-06-06T11:36:37Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0575.JPG,54.1321666666667,36.5116666666667,206.4553191,29.23,True
11,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0467.JPG,,,authS,2013-04-28T05:00:10Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0468.JPG,55.7248333333333,37.5818333333333,133.9731544,9.96416666666667,True
12,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0089.JPG,,,authS,2013-02-09T10:24:52Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0090.JPG,55.9135,37.5543333333333,,2.42527777777778,True
13,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0464.JPG,,,authS,2013-04-26T07:23:51Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0463.JPG,55.9133333333333,37.554,190.7412935,1.66138888888889,True
14,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0869.JPG,,,authS,2013-07-12T06:26:59Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0874.JPG,42.7031666666667,27.794,31.77661169,11.0575,True
15,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0707.JPG,,,authS,2013-06-30T14:53:57Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0715.JPG,42.704,27.7933333333333,34.43859649,40.5205555555556,True
16,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0924.JPG,,,authS,2013-07-16T17:52:04Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0922.JPG,42.7036666666667,27.799,17.73065015,0.0716666666666667,True
17,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0449.JPG,,,authS,2013-04-19T18:21:06Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0441.JPG,55.9135,37.5541666666667,,0.420555555555556,True
18,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0688.JPG,,,authS,2013-06-25T07:15:07Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0692.JPG,55.7471666666667,37.5373333333333,187.4684685,5.91777777777778,True
19,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0111.JPG,,,authS,2013-02-12T11:11:25Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0109.JPG,53.5991666666667,58.6176666666667,450.77,2.36222222222222,True
20,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0879.JPG,,,authS,2013-07-12T20:57:33Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0876.JPG,42.7031666666667,27.7925,42.49419954,3.09305555555556,True
21,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0689.JPG,,,authS,2013-06-25T07:15:27Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0692.JPG,55.7471666666667,37.5373333333333,187.4684685,5.91222222222222,True
