SourceFile,cust.GPSLatt,cust.GPSLong,cust.author,cust.MediaDate,cust.GPSAlt,suggested.SourceFile,suggested.cust.GPSLatt,suggested.cust.GPSLong,suggested.cust.GPSAlt,suggested.time.diff
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6147.JPG,57.6737972222222,15.8441472222222,authS,2022-08-16T21:32:47Z,112.1821948,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6295.JPG,59.3318666666667,18.0708972222222,authS,2022-08-16T21:32:56Z,10.77999495,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6294.JPG,59.3319805555556,18.071025,authS,2022-08-16T21:33:03Z,-15.33361848,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6337.JPG,NA,NA,authS,2022-08-16T21:33:01Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6218.HEIC,55.9955888888889,12.9458777777778,75.25930039,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6318.JPG,59.4444,18.0735805555556,authS,2022-08-16T21:33:11Z,16.57759476,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6293.JPG,59.3332777777778,18.0745666666667,authS,2022-08-16T21:33:11Z,21.93,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6292.JPG,NA,NA,authS,2022-08-16T21:33:12Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6319.JPG,59.4444,18.0735805555556,16.57759476,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6319.JPG,59.4444,18.0735805555556,authS,2022-08-16T21:33:12Z,16.57759476,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6290.JPG,59.3319361111111,18.0709388888889,authS,2022-08-16T21:33:05Z,11.35432714,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6291.JPG,59.3329722222222,18.0743944444444,authS,2022-08-16T21:33:10Z,8.003911343,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6050.JPG,59.6630861111111,18.7709861111111,authS,2022-08-16T21:33:10Z,2.403490444,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4299.JPG,NA,NA,authS,2022-08-16T21:28:02Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4298.JPG,59.4440638888889,18.0442611111111,20.9845666,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4272.JPG,NA,NA,authS,2022-08-16T21:28:02Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4298.JPG,59.4440638888889,18.0442611111111,20.9845666,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4266.JPG,NA,NA,authS,2022-08-16T21:28:02Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4298.JPG,59.4440638888889,18.0442611111111,20.9845666,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4689.JPG,NA,NA,authS,2022-08-16T21:28:01Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4335.HEIC,59.4518611111111,18.014375,22.12917135,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4306.JPG,59.44255,18.0627583333333,authS,2022-08-16T21:28:00Z,6.513564818,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4267.JPG,NA,NA,authS,2022-08-16T21:28:03Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4564.HEIC,59.6512555555556,18.7752555555556,1.522500992,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4273.JPG,NA,NA,authS,2022-08-16T21:28:02Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4298.JPG,59.4440638888889,18.0442611111111,20.9845666,0
