,Unnamed: 0,SourceFile,cust.GPSLatt,cust.GPSLong,cust.author,cust.MediaDate,cust.GPSAlt,suggested.SourceFile,suggested.cust.GPSLatt,suggested.cust.GPSLong,suggested.cust.GPSAlt,suggested.time.diff,suggested.approved
50,50,/Users/sergey/Pictures/exports/julshow2021/DSC09357.jpg,,,authS,2021-12-20T02:07:06Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.531388888889,
51,51,/Users/sergey/Pictures/exports/julshow2021/DSC09237.jpg,,,authS,2021-12-20T02:06:43Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.537777777778,
52,52,/Users/sergey/Pictures/exports/julshow2021/DSC09587.jpg,,,authS,2021-12-20T02:07:25Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.526111111111,
53,53,/Users/sergey/Pictures/exports/julshow2021/DSC09034.jpg,,,authS,2021-12-20T02:06:10Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.546944444444,
54,54,/Users/sergey/Pictures/exports/julshow2021/DSC09140.jpg,,,authS,2021-12-20T02:06:24Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.543055555556,
55,55,/Users/sergey/Pictures/exports/julshow2021/DSC09401.jpg,,,authS,2021-12-20T02:07:12Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.529722222222,
56,56,/Users/sergey/Pictures/exports/julshow2021/DSC09159.jpg,,,authS,2021-12-20T02:06:28Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.541944444444,
57,57,/Users/sergey/Pictures/exports/julshow2021/DSC09978.jpg,,,authS,2021-12-20T02:07:40Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.521944444444,
58,58,/Users/sergey/Pictures/exports/julshow2021/DSC09213.jpg,,,authS,2021-12-20T02:06:39Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.538888888889,
59,59,/Users/sergey/Pictures/exports/julshow2021/DSC09825.jpg,,,authS,2021-12-20T02:07:33Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.523888888889,
60,60,/Users/sergey/Pictures/exports/julshow2021/DSC09172.jpg,,,authS,2021-12-20T02:06:32Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.540833333333,
61,61,/Users/sergey/Pictures/exports/julshow2021/DSC09166.jpg,,,authS,2021-12-20T02:06:32Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.540833333333,
62,62,/Users/sergey/Pictures/exports/julshow2021/DSC09199.jpg,,,authS,2021-12-20T02:06:35Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.54,
63,63,/Users/sergey/Pictures/exports/julshow2021/DSC09576.jpg,,,authS,2021-12-20T02:07:24Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.526388888889,
64,64,/Users/sergey/Pictures/exports/julshow2021/DSC09761.jpg,,,authS,2021-12-20T02:07:31Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.524444444444,
65,65,/Users/sergey/Pictures/exports/julshow2021/DSC09407.jpg,,,authS,2021-12-20T02:07:15Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.528888888889,
